"Please enter your information below","Si prega di inserire le informazioni di seguito richieste"
"Metric (metres)","Metri"
"Room Dimensions","Dimensioni della stanza"
"Width","Larghezza (m)"
"Height","Altezza (m)"
"Length","Lunghezza (m)"
"Window Area X²","Superficie della finestra (metri quadrati)"
"Please enter window area","Si prega di indicare la superficie della finestra"
"Room Information","Dettagli della stanza",
"Type of room","Tipo di stanza"
"Please select","Selezionare"
"Living Room","Soggiorno"
"Bedroom","Camera da letto"
"Hallway or Kitchen","Ingresso / Cucina"
"Bathroom","Bagno"
"What is below the room?","Tipo di stanza sotto la stanza che si desidera riscaldare"
"A heated room","Una stanza riscaldata"
"A wooden floor","Pavimento in legno"
"A concrete floor","Pavimento in cemento"
"What is above the room?","Spazio sopra la stanza"
"Roof space with no insulation","Mansarda - senza isolamento"
"Roof space with approx. 50mm insulation","Mansarda - con circa 50mm d'isolamento"
"Roof space with 100mm+ insulation","Mansarda - con circa 100mm d'isolamento"
"A flat roof with no insulation","Tetto Piano - senza isolamento"
"A flat roof with insulation","Tetto Piano - con isolamento"
"Select type of outside wall","Si prega di scegliere il tipo di parete esterna"
"Brick Cavity","Intercapedine"
"Insulated Brick Cavity","Intercapedine con isolamento"
"105mm Solid Brick","Mattone pieno 105mm"
"220mm Solid Brick","Mattone pieno 220mm"
"Wood frame","Struttura in legno"
"Select type of window","Si prega di scegliere il tipo di finestra"
"Wood/Plastic double glazed","Legno / Plastica vetro doppio"
"Metal Single glazed","Metallo vetro singolo"
"Wood/Plastic single glazed","Legno / Plastica vetro singolo"
"Wood Single glazed","Legno vetro singolo"
"Select number of outside walls","Numero pareti che si affacciano sull'esterno"
"None or One","Una"
"Two","Due"
"Three","Tre"
"Reset","Riavviare"
"Calculate","Calcolare"
"Your Requirements","Resa termica necessaria"
"View suitable products","Prodotti Consigliati"
"Watts Required","Fabbisogno (Watt)"
