"3 - 5 Working days","3 - 5 días laborables"
"Standard delivery","Envío estándar"
"Anytime Delivery","Entrega en cualquier momento"
"Morning Delivery Before","Entrega en la mañana antes de"
"I'm not in a hurry","Envío estándar gratuito"
"Shipping Address","Dirección de envío"
"New Address","Nueva Dirección"
"Next >>","Seguir >>"
"Shipping Methods","Métodos de envío"
"Choose your delivery date and time...","Escoga el día y hora de la entrega"
"Select a delivery time...","Seleccione una hora de entrega..."
From,De
"Not available","No disponible"
OR,o
"Not in a hurry? Use our standard delivery option, delivered within 3-5 working days","Si no tiene prisa, puede seleccionar nuestro envío estándar gratuito con plazo de entrega de entre 3 y 5 días laborables."
Next,Siguiente
"Sorry, no quotes are available for this order at this time","Lo sentimos, no hay información disponible para el envío de este pedido"
Shipping,Envío
"Save Address","Guardar Dirección"
Cancel,Cancelar
"Limitless Delivery","Envío ilimitado"
Enabled,Habilitado
Key,Key
URL,URL
"Warehouse Code","Código del almacén"
"Economy Service Group","Grupo de servicios económicos"
"Premium Service Groups","Grupos de servicio premium"
"Offline Delivery Price","Precio de entrega offline"
"Delivery Charge Threshold","Umbral de costes de envío"
"Sort Order","Sort Order"
"Ship to Applicable Countries","Enviar a los países aplicables"
"Ship to Specific Countries","Enviar a países específicos"
"Show Method if Not Applicable","Mostrar método de envío si no es aplicable"
"Displayed Error Message","Mensaje de error mostrado"
"Address details have been changed. Please re-select your delivery option.","Hemos modificado los detalles de su dirección. Rogamos vuelva a seleccionar su opción de entrega."
"Select a delivery date...","Seleccione una fecha de entrega... "
"For next day delivery your order must be placed and confirmed by 1pm.","Para entregas al día siguiente su pedido debe ser gestionado y confirmado antes de la 1pm."
"Next Day","Entrega al día siguiente"
"Please specify a shipping method.","Rogamos especifique un método de entrega."
