"your legacy orders","Ordini precedenti"
"Legacy Order","Ordine precedente"
"view legacy orders","vedere ordini precedenti"
"orders","ordini"
"order","ordini"
"date","data"
"ship to","Spedire a"
"order to","importo dell’ordine"
"status","stato"
"dispatched","spedito"
"cancelled","cancellato"
"view order","visualizzare l’ordine"
"no orders found","non abbiamo trovato nessun ordine"
"items","articoli"
"order placed on","ordine realizzato il"
"items ordered","articoli ordinati"
"product name","nome del prodotto"
"SKU","Riferimento del prodotto"
"price","prezzo"
"qty","quantità"
"subtotal","subtotale"
"Subtotal","Subtotale"
"Discount","Sconto"
"VAT Exemption","IVA essente"
"Shipping &amp; Handling","Costi di spedizione"
"Grand Total","Totale"
"Order Information","Informazioni sull’Ordine"
"Shipping Address","Inidirizzo di Consegna"
"Shipping Method","Tipo di Spedizione"
"Standard","Standard"
"Billing Address","Indirizzo Legale"
"Payment Method","Metodo di Pagamento"
"Bank Transfer","Bonifico Bancario"
"No order details found","Informazioni sull’ordine non disponibili"
